,Aayu Malun Khola Hydro-Electric Project,Apsuwa I HEP,Chujung Khola HEP,Dudhkoshi 10 HEP,Dudhkoshi-6 HEP,Ghunsa Khola HPP,Ghunsa-Tamor HPP,Hongu Khola HPP,Ikhuwa Khola HEP,Isuwa Khola Hydropower Project,Kabeli B - 1,Kabeli-3 HEP,Kabeli-A,Kasuwa Khola HPP,Lower Hewa,Lower Isuwa Khola HPP,Lower Solu Hydropower Project,Luja Khola HPP,Mewa khola HPP,Mewa Khola Hydropower project,Middle Hongu Khola B HPP,Middle Hongukhola A Hydropower Project,Middle Mewa HPP,Middle Tamor,Palun khola small Hydropower Project,Simbuwa Khola Hydroelectric Project,Solu Hydropower Project,Solu Khola (Dudha Koshi),Super Inkhu Khola,Tamor Khola-5 HEP,Upper Apsuwa HEP,Upper Barunkhola HEP,Upper Inkhu Khola HEP,Upper Isuwa,Upper Kabeli HPP,Upper Mewa Khola -A HPP,Upper Sankhuwa Khola HEP,Upper Simbuwa Khola HPP,Upper Tamor A HPP,Upper Tamor HEP,solar_site_0,solar_site_1,solar_site_2,solar_site_3,solar_site_4,solar_site_5,solar_site_6,solar_site_7,solar_site_8,solar_site_9,solar_site_10,solar_site_11,solar_site_12,solar_site_13,solar_site_14,solar_site_15,solar_site_16,solar_site_17,solar_site_18,solar_site_19
2019-12-16 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 01:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 02:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 03:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 04:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 05:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010266940451745,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0010266940451745,0.0010288065843621,0.0010288065843621,0.0010298661174047,0.0,0.0,0.0,0.0010224948875255,0.0,0.0,0.0,0.0009671179883945,0.0,0.0
2019-12-16 07:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1386340468909276,0.0985626283367556,0.1405295315682281,0.1473899692937564,0.1386340468909276,0.1473899692937564,0.108829568788501,0.1234567901234567,0.1234567901234567,0.0875386199794026,0.1408163265306122,0.1408163265306122,0.1338100102145046,0.1523517382413088,0.1466127401415571,0.1373737373737373,0.1400198609731877,0.1005802707930367,0.1034146341463414,0.1248808388941849
2019-12-16 08:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3200815494393476,0.337782340862423,0.3177189409368635,0.3101330603889457,0.3200815494393476,0.3101330603889457,0.3357289527720739,0.3343621399176955,0.3343621399176955,0.3408856848609681,0.3214285714285714,0.3214285714285714,0.3207354443309499,0.3343558282208589,0.3286147623862487,0.3141414141414141,0.3227408142999007,0.2852998065764023,0.3404878048780488,0.2755004766444233
2019-12-16 09:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4750254841997961,0.4907597535934291,0.4765784114052953,0.3613101330603889,0.4750254841997961,0.3613101330603889,0.4712525667351129,0.4886831275720165,0.4886831275720165,0.4933058702368692,0.4765306122448979,0.4765306122448979,0.4759959141981614,0.4887525562372188,0.3741152679474216,0.4757575757575757,0.4796425024826216,0.3597678916827853,0.4341463414634146,0.4976167778836987
