name,bus0,bus1,length,v_nom,carrier,x,r,captial_cost,lifetime
Tingla- Inkhu,Tingla_132,Inkhu_132,36,132,AC,9.000,3.636,330,40
Tingla - Okhaldunga,Tingla_132,Okhaldunga_132,28,132,AC,7.000,2.1,330,40
Okhaldunga-Mirchiya,Okhaldunga_132,Mirchiya_132,122,132,AC,30.500,12.322,330,40
Mirchiya-Lahan,Mirchiya_132,Lahan_132,27,132,AC,6.750,2.727,330,40
Rupani-Inaruwa,Rupani_132,Inaruwa_132,30,132,AC,7.500,3.03,330,40
Inaruwa-Kataiya,Inaruwa_400,Kataiya_400,15,132,AC,3.750,1.515,330,40
Inaruwa-Duhabi,Duhabi_132,Inaruwa_132,30,132,AC,7.500,3.03,330,40
Inaruwa-Biratnagar,Inaruwa_132,Biratnagar_132,51,132,AC,12.750,5.151,330,40
Duhabi-Itahari,Duhabi_132,Itahari_132,42,132,AC,10.500,4.242,330,40
Itahari-Dharan,Itahari_132,Dharan_132,30,132,AC,7.500,3.03,330,40
Hangpang-Kabeli,Hangpang_132,Kabeli_132,19,132,AC,4.750,1.919,330,40
Kabeli-Pinaseghat_LILO,Kabeli_132,Pinaseghat_LILO_132,9,132,AC,2.250,0.909,330,40
Pinaseghat_LILO-Phidim,Pinaseghat_LILO_132,Phidim_132,14,132,AC,3.500,1.414,330,40
phidim-Soyak_tap,Phidim_132,Soyak_tap_132,71,132,AC,17.750,7.171,330,40
Illam-Soyak_tap,Soyak_tap_132,Illam_132,7,132,AC,1.750,0.707,330,40
Illam-Damak,Damak_132,Soyak_tap_132,66,132,AC,16.500,6.666,330,40
Duhabi-Damak,Duhabi_132,Damak_132,50,132,AC,12.000,5.05,330,40
Damak-Anarmani,Anarmani_132,Damak_132,27,132,AC,6.480,2.727,330,40
Anarmani-Bhadrapur,Anarmani_132,Bhadrapur_132,30,132,AC,7.500,3.03,330,40
Lahan-Rajbiraj,Lahan_132,Rajbiraj_132,29,132,AC,7.250,2.929,330,40
Lahan-Rupani,Lahan_132,Rupani_132,28,132,AC,7.000,2.828,330,40
Hangpang-Basantapur,Hangpang_220,Basantapur_220,46,220,AC,13.892,3.45,550,40
Baneshwor-basantapur,Baneshwor_220,Basantapur_220,21,220,AC,8.484,1.575,550,40
Khandabari-Baneshwor,Khandabari_220,Baneshwor_220,10,220,AC,3.030,0.28,550,40
Sitalpati-Khandabari,Sitalpati_220,Khandabari_220,24,220,AC,7.272,0.672,550,40
Arun-Sitalpati,Arun_220,Sitalpati_220,9,220,AC,2.727,0.252,550,40
Hangpang-Tamor,Hangpang_220,Tamor_220,23,220,AC,6.969,0.644,550,40
Inaruwa-Basantapur,Basantapur_220,Inaruwa_220,148,220,AC,59.792,8.288,550,40
Dudhkoshi-Tingla,Tingla_400,Dudhkoshi_400,20,400,AC,8.000,1.12,1000,40
Tingla- Arun,Tingla_400,Arun_400,62,400,AC,25.792,3.472,1000,40
Mirchiya-Dudhkoshi,Dudhkoshi_400,Mirchiya_400,81,400,AC,25.515,2.268,1000,40
Arun-U_Arun,U_Arun_400,Arun_400,18,400,AC,5.670,0.504,1000,40
Hangpang-Mewa,Hangpang_400,Mewa_400,39,400,AC,16.614,1.092,1000,40
Hangpang-Arun,Arun_400,Hangpang_400,46,400,AC,11.500,0.644,1000,40
Hangpang-Inaruwa,Hangpang_400,Inaruwa_400,101,400,AC,42.016,5.656,1000,40
Dudhkoshi_4-Tingla,Tingla_400,Dudhkoshi_4_400,23,400,AC,5.750,0.322,1000,40
