name,ANARMANI,BHADRAPUR,BIRATNAGAR,DAMAK,DHARAN,ITAHARI,LAHAN,RAJBIRAJ,DUHABI,INARUWA,RUPANI,MIRCHIYA,GODAK
12/16/2019 0:00,12.62,4,26.2,7.3,5.76,14.27253074,8,3.1,19.4,5.48954802,3.6,12.77,7.22
12/16/2019 1:00,11.1,4.2,23.95,7,5,13.99299744,9,3,16.65,5.51209,3.1,11.59,7.8
12/16/2019 2:00,10.47,4.25,23.5,9.25,4.9,13.93474494,9,3.1,18.25,5.528544,3.4,11.14,7.6
12/16/2019 3:00,10.37,4.5,23.45,6.75,5.22,13.8131573,9,3.2,20.75,5.528544,3.9,12.47,8
12/16/2019 4:00,9.73,4.5,23.8,7.13,5.29,14.00424664,9,3.3,16.75,5.47325856,4.1,12.24,7.8
12/16/2019 5:00,11.53,4.5,23.7,8.5,5.29,13.31680919,9,3,20.5,5.74968576,4.2,12.36,8
12/16/2019 6:00,15.21,5.1,27.15,9.9,6.32,15.81618898,9,3.4,22.1,6.63820176,4.2,12.44,8
12/16/2019 7:00,19.08,5.6,25.15,13.9,8.19,18.9829104,9,4.4,22.4,7.2216606,4.7,13.99,6.5
12/16/2019 8:00,23.83,7,34.6,15.7,9.58,21.07814037,10,5.1,24.05,8.44978716,5.3,10.2,6.6
12/16/2019 9:00,22.64,10,41.3,13.2,9.87,20.4565757,11,4.9,30.45,8.82444474,5.2,13.93,7.2
12/16/2019 10:00,20.15,10,41.2,12.7,8.87,19.66330998,10,4.5,32,7.9571544,5.3,15.38,7.9
12/16/2019 11:00,19.5,9.5,33.1,12.8,7.46,18.32329667,10,4.2,28.65,8.2138368,5.6,14.91,7.5
12/16/2019 12:00,19.23,8.2,31.7,11.2,7.13,15.93780583,10,2.7,24.15,9.5564832,5.5,15.05,8.9
12/16/2019 13:00,19.04,8,34.45,10.4,6.81,17.16521983,10,3.8,21.4,5.791808,5.2,14.51,9.2
12/16/2019 14:00,17.62,8,38.3,10.9,6.22,17.67587253,10,3.9,23.9,5.791808,4.2,14.62,8.4
12/16/2019 15:00,16.86,8.3,37.7,11,6.17,19.46245763,10,4,18.05,7.23597558,5.2,13.83,8.5
12/16/2019 16:00,21.46,8,37.35,12.2,7.19,20.30891676,10,3.8,18.5,7.71955864,5.7,15.39,7.5
12/16/2019 17:00,24.87,8,37.3,14.5,8.38,21.97755841,10,4.9,17.35,9.17244684,6.1,15.4,5
12/16/2019 18:00,26.81,7.5,37.05,17.8,10.17,22.70719858,12,7.2,21.35,10.14619456,8.4,14.36,3.5
12/16/2019 19:00,22.6,6.5,34.5,16.6,9.4,19.87927777,11.7,6.9,20.2,9.387007,7.9,15.16,3.5
12/16/2019 20:00,19.47,5.5,32.25,13.3,8.94,18.58537109,11,5.9,19.8,7.0044678,6.8,15.22,3.5
12/16/2019 21:00,14.78,5,29.2,11.1,7.71,16.76160573,9,4.8,15.75,7.04839998,5.4,14.22,6.6
12/16/2019 22:00,13.19,4,25.85,9,6.3,15.41810669,7,3.4,18.7,0.5972802,5.1,13.54,6.8
12/16/2019 23:00,11.68,3.5,27.3,7.8,6.05,14.40257574,8,3.3,18.7,5.2677481,3.9,13.3,7
12/17/2019 0:00,14.11,4.5,26.95,7.6,6.16,14.3262366,7,3.6,17.7,5.75709006,6.1,12.51,7.1
12/17/2019 1:00,11.98,4,24.2,7,5.64,14.34081484,8,3.1,18.8,4.5873752,3.6,12.3,7.5
12/17/2019 2:00,12.18,4,24.75,6.8,5.4,14.02792024,8,2.9,19.35,4.5873752,3.5,12.3,7.5
12/17/2019 3:00,11.88,4,24,6.7,5.25,13.96576444,8,2.7,19.2,4.96647536,3.5,12.5,7.7
12/17/2019 4:00,13.09,3.8,24.05,6.8,5.33,13.98111973,8,2.7,19,4.9230368,3.5,12.6,7.8
12/17/2019 5:00,14.45,4,25.05,7.6,5.61,14.30677151,8,2.8,19.25,5.05598512,3.6,12.8,7.5
12/17/2019 6:00,17.37,4.9,26.95,10.1,6.38,17.22743908,9,3.8,19.15,5.81089464,5.1,13.91,6.6
12/17/2019 7:00,22.97,5.5,35.2,13.4,8.38,24.11176123,10,4.3,22.35,6.2985912,5.5,15.64,6.1
