name,bus,control,p_nom,p_set,carrier,sub_dist,road_dist
Aayu Malun Khola Hydro-Electric Project,Okhaldunga_132,PV,21.0,21.0,Hydro,12.425810867168824,0.4055538685711007
Apsuwa I HEP,Arun_400,PV,23.0,23.0,Hydro,10.281444014967189,8.703194195986152
Chujung Khola HEP,U_Arun_400,PV,48.0,48.0,Hydro,19.83011751002162,0.212139361012124
Dudhkoshi 10 HEP,Dudhkoshi_4_400,PV,75.0,75.0,Hydro,6.654686181976698,1.0456834085714253
Dudhkoshi-6 HEP,Dudhkoshi_4_400,PV,83.0,83.0,Hydro,5.754688828592317,1.5855576296282707
Ghunsa Khola HPP,Tamor_220,PV,71.5,71.5,Hydro,4.784431125667136,4.1600768677693845
Ghunsa-Tamor HPP,Tamor_220,PV,43.0,43.0,Hydro,1.1056252064258973,0.46987459579008284
Hongu Khola HPP,Inkhu_132,PV,21.87,21.87,Hydro,23.05301286807071,7.003190647201282
Ikhuwa Khola HEP,U_Arun_400,PV,30.0,30.0,Hydro,4.730713214082139,4.71510439173246
Isuwa Khola Hydropower Project,Arun_400,PV,97.2,97.2,Hydro,1.9738163496405332,1.0077111736989122
Kabeli B - 1,Pinaseghat_LILO_132,PV,25.0,25.0,Hydro,2.202395285760245,5.50908507900919
Kabeli-3 HEP,Pinaseghat_LILO_132,PV,21.93,21.93,Hydro,7.914212606215941,2.1642726664696736
Kabeli-A,Kabeli_132,PV,37.6,37.6,Hydro,4.054387534516066,3.586999658805294
Kasuwa Khola HPP,U_Arun_400,PV,45.0,45.0,Hydro,12.697877806485291,0.6322931803011256
Lower Hewa,Phidim_132,PV,21.6,21.6,Hydro,3.6071446268849368,0.4351616152711979
Lower Isuwa Khola HPP,Arun_400,PV,37.7,37.7,Hydro,7.619705996900144,0.5703819189091321
Lower Solu Hydropower Project,Tingla_400,PV,82.0,82.0,Hydro,2.1387993179921505,7.517099738915889
Luja Khola HPP,Dudhkoshi_4_400,PV,24.8,24.8,Hydro,2.4098602719826134,3.7509337590352083
Mewa khola HPP,Mewa_400,PV,23.0,23.0,Hydro,3.1681574186716466,0.10761410183657129
Mewa Khola Hydropower project,Mewa_400,PV,50.0,50.0,Hydro,1.0065185471420435,2.5163696895443035
Middle Hongu Khola B HPP,Inkhu_132,PV,22.9,22.9,Hydro,12.711626688816782,8.335294132589095
Middle Hongukhola A Hydropower Project,Inkhu_132,PV,22.0,22.0,Hydro,20.090961370144736,7.441001353117689
Middle Mewa HPP,Mewa_400,PV,49.0,49.0,Hydro,0.44894191470567524,1.218513627264466
Middle Tamor,Hangpang_400,PV,54.0,54.0,Hydro,17.635819973736517,2.9936029044025223
Palun khola small Hydropower Project,Mewa_400,PV,21.0,21.0,Hydro,1.9967050589218704,1.8916640231859487
Simbuwa Khola Hydroelectric Project,Tamor_220,PV,53.7,53.7,Hydro,4.257158718245553,3.5273796226392555
Solu Hydropower Project,Tingla_400,PV,23.5,23.5,Hydro,2.113968389164447,5.7151635227067725
Solu Khola (Dudha Koshi),Tingla_400,PV,86.0,86.0,Hydro,11.551395491056425,4.1399901155018535
Super Inkhu Khola,Dudhkoshi_4_400,PV,22.12,22.12,Hydro,19.550462980157693,7.218350458533171
Tamor Khola-5 HEP,Tamor_220,PV,40.0,40.0,Hydro,1.3772759250921183,0.2066811754265818
Upper Apsuwa HEP,Arun_400,PV,24.6,24.6,Hydro,5.741767534913025,5.675399597339508
Upper Barunkhola HEP,U_Arun_400,PV,55.0,55.0,Hydro,13.646001529833143,7.450624925607937
Upper Inkhu Khola HEP,Dudhkoshi_4_400,PV,24.22,24.22,Hydro,16.986190123116984,5.516720245764993
Upper Isuwa,Arun_400,PV,24.3,24.3,Hydro,2.377303624305151,3.606314798514437
Upper Kabeli HPP,Pinaseghat_LILO_132,PV,22.9,22.9,Hydro,5.700309530048095,0.3752980208130446
Upper Mewa Khola -A HPP,Mewa_400,PV,28.22,28.22,Hydro,0.9330156816647299,0.9667136177881323
Upper Sankhuwa Khola HEP,Sitalpati_220,PV,24.0,24.0,Hydro,17.709876422201727,8.767611579742734
Upper Simbuwa Khola HPP,Tamor_220,PV,46.81,46.81,Hydro,13.792230196142755,5.137589223854293
Upper Tamor A HPP,Tamor_220,PV,72.0,72.0,Hydro,5.814071930718403,0.11915224272983498
Upper Tamor HEP,Tamor_220,PV,32.5,32.5,Hydro,1.0109960254048393,0.5214858754367181
solar_site_0,Kataiya_400,PV,17.549999999999997,17.549999999999997,Solar,1.1429978266005931,4.711924849184819
solar_site_1,Bhadrapur_132,PV,24.707815386813017,24.707815386813017,Solar,3.101811325597727,0.08909521645952218
solar_site_2,Kataiya_400,PV,20.546999999999997,20.546999999999997,Solar,3.804951408348054,0.858075773785017
solar_site_3,Duhabi_132,PV,21.114,21.114,Solar,20.849057422679103,0.03662671010552982
solar_site_4,Kataiya_400,PV,16.713,16.713,Solar,2.444271796770809,4.360048926409788
solar_site_5,Duhabi_132,PV,15.15846257416866,15.15846257416866,Solar,30.545891176551866,0.17548141848750423
solar_site_6,Damak_400,PV,25.435821390888655,25.435821390888655,Solar,20.248545918157564,0.027274666100441967
solar_site_7,Damak_400,PV,15.093,15.093,Solar,1.1384996964369463,0.17650586667332852
solar_site_8,Damak_400,PV,18.414,18.414,Solar,2.886228535785893,0.14527398483752352
solar_site_9,Anarmani_132,PV,37.557,37.557,Solar,19.75665676644735,0.3646236909070019
solar_site_10,Inaruwa_400,PV,18.63,18.63,Solar,20.325470610976176,2.1259552097599963
solar_site_11,Inaruwa_400,PV,46.062000000000005,46.062000000000005,Solar,18.908434443122676,3.72358329762982
solar_site_12,Inaruwa_400,PV,25.999339988733922,25.999339988733922,Solar,24.91443730051501,5.777978731516665
solar_site_13,Damak_400,PV,35.964000000000006,35.964000000000006,Solar,13.230289764842206,0.43778142377029416
solar_site_14,Itahari_132,PV,16.064999999999998,16.064999999999998,Solar,14.950257637632696,3.0477695765935837
solar_site_15,Lahan_132,PV,29.673,29.673,Solar,13.716508385051128,0.13984586305688804
solar_site_16,Lahan_132,PV,33.641999999999996,33.641999999999996,Solar,9.693424923439771,1.238001179450314
solar_site_17,Basantapur_220,PV,39.906,39.906,Solar,4.5483159912855315,0.2123929165416307
solar_site_18,Tingla_400,PV,22.302,22.302,Solar,6.786579361075562,1.391307509429265
solar_site_19,Tingla_400,PV,19.602,19.602,Solar,21.045115575987694,2.2527094236339993
