name,bus,p_set,q_set
ANARMANI,Anarmani_132,39.0,12.81868011
BHADRAPUR,Bhadrapur_132,11.0,3.615525158
BIRATNAGAR,Biratnagar_132,54.0,17.74894168
DAMAK,Damak_132,27.0,8.874470842
DHARAN,Dharan_132,17.0,5.587629789
ITAHARI,Itahari_132,30.0,9.860523158
LAHAN,Lahan_132,39.0,12.81868011
MIRCHIYA,Mirchiya_132,20.0,6.573682105
RUPANI,Rupani_132,16.0,5.258945684
RAJBIRAJ,Rajbiraj_132,12.0,3.944209263
GODAK,Illam_132,28.0,9.203154947
INARUWA,Inaruwa_132,17.0,5.587629789
DUHABI,Duhabi_132,33.0,10.84657547
