,max
Tingla- Inkhu,19.568689677461965
Tingla - Okhaldunga,5.0720664858604785
Okhaldunga-Mirchiya,5.068914250413874
Mirchiya-Lahan,46.87280626754795
Rupani-Inaruwa,26.387060760678633
Inaruwa-Kataiya,269.9441241313087
Inaruwa-Duhabi,0.7890210089913114
Inaruwa-Biratnagar,45.83472872112335
Duhabi-Itahari,36.686004902716896
Itahari-Dharan,12.24387691679874
Hangpang-Kabeli,5.37591987837801
Kabeli-Pinaseghat_LILO,5.372393688702331
Pinaseghat_LILO-Phidim,44.82578256886934
phidim-Soyak_tap,44.6537162618184
Illam-Soyak_tap,9.206992694803448
Illam-Damak,6.396165124129103
Duhabi-Damak,20.132039587810457
Damak-Anarmani,25.8614823665352
Anarmani-Bhadrapur,8.012967029706328
Lahan-Rajbiraj,7.611561431073792
Lahan-Rupani,29.769405876690236
Hangpang-Basantapur,26.48488830158819
Baneshwor-basantapur,15.890513718975942
Khandabari-Baneshwor,15.891976668845427
Sitalpati-Khandabari,15.895487748568677
Arun-Sitalpati,15.896804403461664
Hangpang-Tamor,129.6805705413804
Inaruwa-Basantapur,42.28824551427646
Dudhkoshi-Tingla,54.47045761543061
Tingla- Arun,10.025558526125325
Mirchiya-Dudhkoshi,54.449273853107485
Arun-U_Arun,30.000000000005947
Hangpang-Mewa,33.266116866987865
Hangpang-Arun,1.495005899723977
Hangpang-Inaruwa,228.0772585537237
Dudhkoshi_4-Tingla,4.542646017233414e-13
