Line,s_nom_max
Tingla- Inkhu,120
Tingla - Okhaldunga,120
Okhaldunga-Mirchiya,110
Mirchiya-Lahan,120
Rupani-Inaruwa,120
Inaruwa-Kataiya,120
Inaruwa-Duhabi,120
Inaruwa-Biratnagar,120
Duhabi-Itahari,120
Itahari-Dharan,120
Hangpang-Kabeli,120
Kabeli-Pinaseghat_LILO,120
Pinaseghat_LILO-Phidim,120
phidim-Soyak_tap,120
Illam-Soyak_tap,120
Illam-Damak,120
Duhabi-Damak,120
Damak-Anarmani,120
Anarmani-Bhadrapur,120
Lahan-Rajbiraj,120
Lahan-Rupani,120
Hangpang-Basantapur,330
Baneshwor-basantapur,330
Khandabari-Baneshwor,660
Sitalpati-Khandabari,660
Arun-Sitalpati,660
Hangpang-Tamor,660
Inaruwa-Basantapur,280
Dudhkoshi-Tingla,1100
Tingla- Arun,1100
Mirchiya-Dudhkoshi,2200
Arun-U_Arun,2200
Hangpang-Mewa,1100
Hangpang-Arun,4400
Hangpang-Inaruwa,1050
Dudhkoshi_4-Tingla,4400
